,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,NETWORTH07,TrueRiskTol
0,47,2,1,0,1,56443.744181,3,352641.7113,6.947438694505888
1,47,2,1,0,1,56443.744181,3,340525.21881,6.22315796729084
2,47,2,1,0,1,56443.744181,3,348696.08426,6.676708619334256
3,47,2,1,0,1,56443.744181,3,351802.8772,6.286853691736365
4,47,2,1,0,1,56443.744181,3,358958.85696,6.177016387618512
15,61,3,1,1,1,172526.16146,2,6098634.5526,1.1334190032310274
16,61,3,1,1,1,173591.13776,2,6108990.5291,1.131978782774573
17,61,3,1,1,1,173591.13776,2,6114686.3161,1.131978782774573
18,61,3,1,1,1,173591.13776,2,6103812.5408,1.1350959322091896
19,61,3,1,1,1,173591.13776,2,6116239.7126,1.131930994264407
40,65,4,1,0,3,55378.767875,3,1024620.3135,0.6219002720400262
41,65,4,1,0,3,55378.767875,3,2091285.8916,0.6219002720400262
42,65,4,1,0,3,54313.79157,3,1449215.3494,0.6211282995954598
43,65,4,1,0,3,55378.767875,3,1894418.7786,0.6230114865654521
44,65,4,1,0,3,54313.79157,3,1677046.8321,0.6211282995954598
70,43,2,1,2,2,26624.407632,4,173271.02057,14.924390552193264
71,43,2,1,2,2,26624.407632,4,94581.133246,14.923955893688968
72,43,2,1,2,2,26624.407632,4,105351.34879,14.923955893688968
73,43,2,1,2,2,26624.407632,4,211163.53854,14.924390552193264
74,43,2,1,2,2,26624.407632,4,72916.430438,14.923955893688968
95,69,4,1,0,2,1042611.8029,3,25066641.084,0.6562522321935874
96,69,4,1,0,2,1052196.5896,3,24531237.1,0.6567550573145285
97,69,4,1,0,2,1088405.784,3,25657967.342,0.6588765721625952
98,69,4,1,0,2,1039416.874,3,24079716.525,0.6560233878589496
99,69,4,1,0,2,1046871.7081,3,26288646.31,0.6564961092048065
110,44,4,1,0,1,150161.65905,3,275572.53429,54.58471757112531
111,44,4,1,0,1,150161.65905,3,277643.72959,54.764307527169294
112,44,4,1,0,1,150161.65905,3,275572.53429,54.764307527169294
113,44,4,1,0,1,150161.65905,3,275572.53429,54.764307527169294
114,44,4,1,0,1,150161.65905,3,277643.72959,54.58471757112531
122,39,4,1,2,1,130992.08555,2,197074.23253,32.54570513436867
124,39,4,1,2,1,130992.08555,2,203702.05748,32.17474351631037
145,46,4,1,2,1,227904.92933,2,436918.64794,16.812929262564346
146,46,4,1,2,1,227904.92933,2,465501.14304,16.812929262564346
147,46,4,1,2,1,227904.92933,2,444789.19007,16.812929262564346
148,46,4,1,2,1,227904.92933,2,433501.1757,16.812929262564346
149,46,4,1,2,1,227904.92933,2,440646.79948,16.812929262564346
165,67,4,1,0,3,303518.24701,3,20967745.591,0.8487979858264256
166,67,4,1,0,3,303518.24701,3,20966709.993,0.8487979858264256
167,67,4,1,0,3,303518.24701,3,20966709.993,0.8487979858264256
168,67,4,1,0,3,303518.24701,3,20967745.591,0.8487979858264256
169,67,4,1,0,3,303518.24701,3,20966709.993,0.8487979858264256
170,35,4,1,2,1,75613.317676,2,261695.5258,33.33911430380813
171,35,4,1,2,1,78808.246592,2,326109.69954,32.74417114259198
